gamma_true,n_budget,strategy,n_reps,n_cal,p_infinite,coverage_mean,coverage_sd,width_mean,width_sd,width_q25,width_q75,cov_at_d3_mean,gamma_hat_mean,gamma_hat_median,share_gamma_zero,width_vs_oracle
0.0,25,fixed_g1,2000,25,0.0,0.9617464941105351,0.03763319675494142,5.501028769302015,1.3251500801325484,4.567209859270921,6.260148833758857,0.9999923769585759,,,,1.2122895656735824
0.0,25,marginal,2000,25,0.0,0.9630040143617086,0.03515149738294681,4.537718483327445,0.920366680337626,3.911984795386928,5.067565217428387,0.9630040143617085,,,,1.0
0.0,25,oracle_shape,2000,25,0.0,0.9630040143617086,0.03515149738294681,4.537718483327445,0.920366680337626,3.911984795386928,5.067565217428387,0.9630040143617085,,,,1.0
0.0,25,tuned_split,2000,15,1.0,1.0,0.0,inf,,inf,inf,1.0,0.0,0.0,1.0,inf
0.0,31,fixed_g1,2000,31,0.0,0.9702762126130465,0.02947124291616575,5.7874238657125865,1.3120851744932844,4.843880270318113,6.563245385041992,0.9999958083748048,,,,1.228049379090685
0.0,31,marginal,2000,31,0.0,0.9704233163062741,0.02861443073090665,4.712696381963005,0.8898200980164134,4.0844837792877895,5.2585433371041965,0.9704233163062741,,,,1.0
0.0,31,oracle_shape,2000,31,0.0,0.9704233163062741,0.02861443073090665,4.712696381963005,0.8898200980164134,4.0844837792877895,5.2585433371041965,0.9704233163062741,,,,1.0
0.0,31,tuned_split,2000,19,0.0,0.9506203672228084,0.04717057196946534,4.310681945218318,0.959949471753786,3.6230069926114954,4.905142381745331,0.9506203672228082,0.0,0.0,1.0,0.9146954515713498
0.0,50,fixed_g1,2000,50,0.0,0.9605960631350244,0.026975085892595133,5.1767720317645995,0.8694459983589389,4.558931702960907,5.75249046353902,0.9999994354725872,,,,1.203721655220948
0.0,50,marginal,2000,50,0.0,0.9608113676693044,0.02693448760691619,4.300638780827103,0.6121544823514877,3.8775887628401984,4.662558048248278,0.9608113676693044,,,,1.0
0.0,50,oracle_shape,2000,50,0.0,0.9608113676693044,0.02693448760691619,4.300638780827103,0.6121544823514877,3.8775887628401984,4.662558048248278,0.9608113676693044,,,,1.0
0.0,50,tuned_split,2000,30,0.0,0.9672334645242682,0.03199014186836202,4.919980531564605,1.3958546612131209,4.094388230692823,5.406851834390126,0.978067372855032,8.707833333333332,0.0,0.6515,1.144011571838728
0.0,100,fixed_g1,2000,100,0.0,0.9510835882155056,0.021714706642126783,4.765286656005207,0.5422255069570173,4.403494126892865,5.101094584644133,0.9999997382620898,,,,1.1929333841935432
0.0,100,marginal,2000,100,0.0,0.9504934531117433,0.02109823825512925,3.9945957747059584,0.37217950560318525,3.74535343633171,4.234439059372176,0.9504934531117433,,,,1.0
0.0,100,oracle_shape,2000,100,0.0,0.9504934531117433,0.02109823825512925,3.9945957747059584,0.37217950560318525,3.74535343633171,4.234439059372176,0.9504934531117433,,,,1.0
0.0,100,tuned_split,2000,60,0.0,0.9511147879553237,0.026327912637992033,4.1631424960860475,0.5904177011216079,3.7877529839111053,4.480118886405492,0.9694821032991203,0.15395833333333334,0.0,0.5995,1.0421936863918342
0.0,200,fixed_g1,2000,200,0.0,0.9508593779060057,0.015356567092802954,4.707956536872885,0.3848269063149497,4.442262981622719,4.9473760971324,0.9999999534549645,,,,1.1857101135374948
0.0,200,marginal,2000,200,0.0,0.9508255611818047,0.015554069043330319,3.9705797252812323,0.2745113980428332,3.7769998369120974,4.149763899243238,0.9508255611818045,,,,1.0
0.0,200,oracle_shape,2000,200,0.0,0.9508255611818047,0.015554069043330319,3.9705797252812323,0.2745113980428332,3.7769998369120974,4.149763899243238,0.9508255611818045,,,,1.0
0.0,200,tuned_split,2000,120,0.0,0.9515924825873715,0.01925417635006939,4.07771044747858,0.407667665901037,3.791508387514871,4.323265924917915,0.9696480487760509,0.10275,0.0,0.5925,1.0269811286032695
0.0,400,fixed_g1,2000,400,0.0,0.9499884932538892,0.0112108865878603,4.660929884699914,0.27444752496905434,4.465103524693005,4.838962232504849,0.9999999827338848,,,,1.1847930579500532
