dataset,method,method_label,n_seeds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,picp_mean,picp_std,mpiw_mean,mpiw_std,nciw_mean,nciw_std,niw_mean,niw_std
imdb_wiki,solo_tab,Solo Tab (XGB-q),5,0.0029063344001770018,0.004044511119419811,16.346046132014475,0.03316349576059999,12.374442100524902,0.02812917782040511,0.9535951045385008,0.001612584222421441,57.55269546508789,0.35267005110815114,0.6341416503932203,0.0019100273851608643,0.639474394056532,0.003918556123423895
imdb_wiki,mlp_concat,MLP on concat (NN),5,0.7342186450958252,0.010824781062073793,8.437913442794931,0.1725314911465489,6.298548984527588,0.1217671442240771,0.949209586945436,0.003206975560128547,34.277922821044925,0.8401883662877425,0.3827827207733986,0.014041006476478254,0.3808658091227214,0.009335426292086035
imdb_wiki,mm_attn_nn,MM cross-attn NN,5,0.7527945756912231,0.002206848972599084,8.138998432747567,0.03640545389126297,6.010748291015625,0.02762888776457943,0.9480367159612442,0.004214370935521541,33.20802001953125,0.5804078390002105,0.3739476538271881,0.008856785989504458,0.3689780002170139,0.006448975988891232
imdb_wiki,homo_xgb_concat,Homog. XGB on concat,5,0.6775751829147338,0.0019780172623046605,9.295185204674763,0.028514909119126967,6.937035751342774,0.015387157398461167,0.9519122896481387,0.0036754894650264857,39.01592483520508,0.4936158858845384,0.42976550024444854,0.0032557915254663207,0.43351027594672303,0.005484620954272646
imdb_wiki,hetero_gated_mixture,Heterog. (gated mix),5,0.7384381175041199,0.0056681537856619404,8.371674767563762,0.09059175173707824,6.152274227142334,0.07347644002366023,0.9497195308516062,0.0025202271888121104,31.16512451171875,0.5844936586211581,0.3469563274016549,0.00390889004465768,0.34627916124131947,0.006494373984679533
imdb_wiki,solo_text,Solo Text (MLP-q),5,0.027765178680419923,0.009914257892920867,16.14085471287183,0.08221933255359729,12.177029418945313,0.029918572894312025,0.9509943906170321,0.0017609685517421495,58.086404418945314,0.7275786339405823,0.6435885139080184,0.007552885272491687,0.6454044935438368,0.008084207043784254
imdb_wiki,solo_image,Solo Image (MLP-q),5,0.738912844657898,0.005160504759086577,8.364141081367581,0.08238059009436333,6.130193424224854,0.07491251307446649,0.9477817440081591,0.0025395001729706774,30.774943542480468,0.6716156772853227,0.34508128029975066,0.005364338244998086,0.34194381713867184,0.007462396414281363
imdb_wiki,homog_xgb_gated,Homog. XGB per-mod + gate,5,0.6609253048896789,0.0010327530833313353,9.532191170489199,0.014521900961944136,7.101497745513916,0.013843203712026141,0.9511983681795002,0.003253266273888127,39.34349746704102,0.45442722639281974,0.4348146717623396,0.002344707367679429,0.4371499718560113,0.005049191404364671
imdb_wiki,hetero_linear_stacker,Heterog. (linear stack),5,0.7392705798149108,0.005530322293663372,8.358359520715053,0.08837461815469137,6.1319269180297855,0.07549926091264803,0.9489546149923509,0.0024081017752407476,30.894990539550783,0.6682776933165876,0.3451384715731557,0.00433797752126431,0.34327767266167536,0.007425307703517641
mercari,solo_tab,Solo Tab (XGB-q),5,0.24934157133102416,0.00906950730449029,0.648491118151072,0.003917968431723162,0.4834441363811493,0.002031464125185132,0.95084,0.0025105776227792673,2.4707826137542725,0.03078775274202004,0.3307631499283783,0.002808447996410962,0.33062488123846595,0.004119827069068883
mercari,mlp_concat,MLP on concat (NN),5,0.3822444319725037,0.013883105143825179,0.5882686122558821,0.006597442202587751,0.44216724634170534,0.004907181831904179,0.94892,0.002519325306505679,2.3429272174835205,0.044222573668932744,0.3155025398048321,0.0042728368044753886,0.31351606115352815,0.005917591894146444
mercari,mm_attn_nn,MM cross-attn NN,5,0.39584195613861084,0.006533967558623777,0.5817807893097262,0.0031511726098120505,0.4379395008087158,0.0026131040179933674,0.9469799999999999,0.0012617448236469833,2.2948845863342284,0.02517550636698146,0.3120637251104156,0.0024304506256744335,0.3070872927423798,0.003368830894456553
mercari,homo_xgb_concat,Homog. XGB on concat,5,0.30890201330184935,0.005885398263810814,0.6222370353367601,0.0026505266717672107,0.46674317717552183,0.0012236980440849523,0.9486600000000001,0.001145862120850478,2.502587842941284,0.011310396649094936,0.33659185929176283,0.0005715935676470026,0.3348808607261716,0.001513487478845796
mercari,hetero_gated_mixture,Heterog. (gated mix),5,0.3427716851234436,0.008410072431538233,0.6067924511946889,0.0038926646769023463,0.4552236795425415,0.0030709160378901636,0.9482799999999999,0.0014463747785411513,2.318463659286499,0.024084793387518913,0.3124630563633565,0.003987054910341012,0.3102424987694742,0.003222878414747252
mercari,solo_text,Solo Text (MLP-q),5,0.2745360851287842,0.005512614746926781,0.6375211379696617,0.002422891881987444,0.48275814652442933,0.0024491255363269077,0.94488,0.003254535297089267,2.454914665222168,0.020741032799939038,0.33464201008393113,0.004277798514814207,0.3285015302930126,0.0027754370085287194
mercari,homog_xgb_gated,Homog. XGB per-mod + gate,5,0.2828203320503235,0.00668087538578703,0.6338688312541162,0.002954964762656519,0.47389267683029174,0.002041269282298366,0.95,0.0011022703842524548,2.465566062927246,0.016157694296551502,0.3300134892018726,0.0024506160543319075,0.32992683460010175,0.0021621229355210524
mercari,hetero_linear_stacker,Heterog. (linear stack),5,0.33886836767196654,0.008595076799510172,0.608591417993717,0.003954417327585383,0.45665217041969297,0.002756152601469783,0.94866,0.0012856904759700088,2.3178565979003904,0.018605469355375454,0.31213567383330093,0.003606049837964307,0.3101612655611906,0.002489669087747079
pawpularity,solo_tab,Solo Tab (XGB-q),5,-0.08689441680908203,0.007106816674674615,21.163753096082775,0.06914795476621945,14.779507637023926,0.059367659183810165,0.9636913767019667,0.003209259218698397,92.00780181884765,0.3017419239042439,0.9388551206004863,0.0030789992235126843,0.9388551206004863,0.0030789992235126843
pawpularity,mlp_concat,MLP on concat (NN),5,0.20196449756622314,0.017000447200533203,18.13394600027476,0.19287152199439347,12.998456954956055,0.18165075883506165,0.9489662128088753,0.004613600811490735,79.58834381103516,1.3565468163091086,0.811428638456251,0.01343662241633524,0.8121259572554607,0.013842314452133764
pawpularity,mm_attn_nn,MM cross-attn NN,5,0.22051988840103148,0.023420228079339567,17.921073919896326,0.26973426908869985,12.881344604492188,0.32064799969768765,0.9510842158345941,0.0018528666738148276,79.50998382568359,1.4071005918820725,0.8051467506356144,0.01622810553947436,0.8113263655681999,0.014358169304919106
pawpularity,homo_xgb_concat,Homog. XGB on concat,5,0.2342558979988098,0.0056282326677863795,17.763983389754976,0.06519424845115683,12.675011825561523,0.04960363948650191,0.9550176500252142,0.0033145086687151075,89.42696685791016,1.0529015127239076,0.9047437568199508,0.002924784323946956,0.9125200699786751,0.010743892986978634
pawpularity,hetero_gated_mixture,Heterog. (gated mix),5,0.21642013788223266,0.024921947342571717,17.967960064157392,0.2850631269891138,12.621866416931152,0.1495648099922493,0.9527987897125568,0.00424320402782908,76.98292236328125,3.7157807273156647,0.7740074064396131,0.036889721449740016,0.7855400241151147,0.037916129870568006
pawpularity,solo_image,Solo Image (MLP-q),5,0.23967329263687134,0.005661601373787948,17.701031694993123,0.06591388459355184,12.50300407409668,0.07165209981018412,0.9534039334341905,0.0038005937834426537,74.46265258789063,3.210048758091456,0.7486418545150239,0.03515396206583899,0.7598229855907207,0.03275559957236182
pawpularity,homog_xgb_gated,Homog. XGB per-mod + gate,5,0.21606261730194093,0.0036820307250251816,17.973828418942567,0.04216613472886528,12.770305633544922,0.01928465749479094,0.9586485123550176,0.0028748750002499544,89.8568359375,0.29946906806908347,0.9137388334011028,0.004573855146010678,0.9169064891581632,0.0030558068170314684
pawpularity,hetero_linear_stacker,Heterog. (linear stack),5,0.23729270696640015,0.006523160799480476,17.728689643106275,0.07586829197644271,12.505734825134278,0.06317308114017864,0.9530005042864346,0.0028392714594572635,75.32830352783203,3.314064057268107,0.7593191363073708,0.03341963993345731,0.7686561584472656,0.03381698017620515
sred,solo_tab,Solo Tab (XGB-q),5,0.742181372642517,0.006605474704516308,0.14666838620893102,0.0018800914149498713,0.10740255862474442,0.00092079183791816,0.9446348061316503,0.006884980764227639,0.6252641558647156,0.01433841347504903,0.3000565823163309,0.0059410625817838516,0.29097611631819703,0.00667259721831388
sred,mlp_concat,MLP on concat (NN),5,0.8165417671203613,0.010345414090597475,0.12369208154520901,0.0034437044522659228,0.09357982277870178,0.002918158860742747,0.9516681695220921,0.008521070986421945,0.5084306538105011,0.017133288371513726,0.23496743127601477,0.010387550252025398,0.2366058819704842,0.007973234453537816
sred,mm_attn_nn,MM cross-attn NN,5,0.8033660292625427,0.007321546266505034,0.12807886017049808,0.0023750733954086465,0.0965663269162178,0.0015655127640261841,0.9504057709648333,0.0048138314932512855,0.521470844745636,0.011164002934722021,0.23941359078592525,0.00760982912234609,0.24267433172690084,0.005195337340292405
sred,homo_xgb_concat,Homog. XGB on concat,5,0.7360673666000366,0.007221755533055841,0.14839597843687524,0.002024726104552515,0.10415885448455811,0.00131207753807735,0.9424706943192065,0.006227699422842916,0.8105661511421204,0.008935908546854093,0.3907052002593273,0.008093693619962023,0.3772091978503777,0.004158459973037004
sred,hetero_gated_mixture,Heterog. (gated mix),5,0.7554874539375305,0.006730004711314233,0.14283205369674518,0.001962701601449923,0.10313283205032349,0.001085451727262907,0.9426510369702434,0.006884980764227618,0.5978279829025268,0.023174226164158294,0.28726511586994585,0.005923815335112963,0.2782082789485153,0.010784476072518215
sred,solo_text,Solo Text (MLP-q),5,0.4800462365150452,0.0039878655181200045,0.20829925105284364,0.0007995439020690448,0.15671522915363312,0.0012947447695885888,0.9559963931469794,0.004481433233467702,0.8360978603363037,0.013162516849365478,0.37568987691853195,0.011113366021108913,0.3890907642485265,0.006125375967705187
sred,solo_image,Solo Image (MLP-q),5,0.3064917802810669,0.011280677662849079,0.24055936169719655,0.001953529021769778,0.18027770519256592,0.0011146812797903417,0.9365193868349865,0.0072305933982793275,0.9328138589859009,0.02339748157072573,0.4519728972174891,0.0027000722422269867,0.4340990146158875,0.010888371347084511
