dataset,base,calibration,bin,n_mean,picp_mean,picp_std,mpiw_mean,mpiw_std,crps_mean,disagreement_mean
imdb_wiki,sourcewise_quantile,binned_weighted_dis,high,1295.0,0.9256092675609408,0.011697468087288884,49.82164306640625,1.3371066209414146,9.548410899289626,2.3857067584991456
imdb_wiki,sourcewise_quantile,binned_weighted_dis,low,1286.2,0.9662461241577821,0.0040718777667249515,45.36737213134766,0.27602392001749754,7.012199723338834,0.5995884299278259
imdb_wiki,sourcewise_quantile,binned_weighted_dis,mid,1340.8,0.9625708493058796,0.0028035468902266477,44.87519912719726,0.4216872248399319,7.711557815631468,1.2670688867568969
imdb_wiki,sourcewise_quantile,difficulty_weighted,high,1295.0,0.9253850134364427,0.005279278653110681,73.29672698974609,35.601963145634265,11.39231382447274,2.3857067584991456
imdb_wiki,sourcewise_quantile,difficulty_weighted,low,1286.2,0.9691769144289933,0.005182260700972568,47.2811996459961,1.0713951425754287,7.097009517488354,0.5995884299278259
imdb_wiki,sourcewise_quantile,difficulty_weighted,mid,1340.8,0.9627629792614444,0.003963493250773045,46.84503326416016,2.03610293600042,7.862171742676404,1.2670688867568969
imdb_wiki,sourcewise_quantile,marginal,high,1295.0,0.9143769746067496,0.006543445632550492,48.51508102416992,0.48076542097449493,9.57261665252167,2.3857067584991456
imdb_wiki,sourcewise_quantile,marginal,low,1286.2,0.9738496352501083,0.0025957081857781597,46.782361602783205,0.42074048980556455,7.034716343896365,0.5995884299278259
imdb_wiki,sourcewise_quantile,marginal,mid,1340.8,0.9682728556983285,0.0031724894361875003,45.396253204345705,0.3938659202470405,7.709495738236619,1.2670688867568969
imdb_wiki,sourcewise_quantile,mondrian_dis,high,1295.0,0.954120148149325,0.0032022091017193826,54.414312744140624,0.7561637482258602,9.498607020849121,2.3857067584991456
imdb_wiki,sourcewise_quantile,mondrian_dis,low,1286.2,0.9559345708343967,0.004537620266036065,43.73243179321289,0.33499841786865403,6.993423501463039,0.5995884299278259
imdb_wiki,sourcewise_quantile,mondrian_dis,mid,1340.8,0.9479788671889088,0.0052581991498027066,43.451063537597655,0.46950391132643093,7.721702523698623,1.2670688867568969
imdb_wiki,sourcewise_quantile,weighted_dis,high,1295.0,0.9273852693274488,0.007728450847918711,49.50548553466797,0.8182437575384395,9.53690243301427,2.3857067584991456
imdb_wiki,sourcewise_quantile,weighted_dis,low,1286.2,0.9658989636216697,0.004814060026410398,45.34136047363281,0.1405858865819478,7.0107306383022685,0.5995884299278259
imdb_wiki,sourcewise_quantile,weighted_dis,mid,1340.8,0.9622876492121197,0.0022371815997918342,44.81740875244141,0.3354648276178212,7.710505695437985,1.2670688867568969
imdb_wiki,sourcewise_stack,binned_weighted_dis,high,1295.0,0.952148236368252,0.003647887473191469,36.22516632080078,0.4811975382082094,4.974682475924964,2.3857067584991456
imdb_wiki,sourcewise_stack,binned_weighted_dis,low,1286.2,0.9424515682024348,0.0033049918689730894,36.22516555786133,0.4811971912405077,5.416355014223046,0.5995884299278259
imdb_wiki,sourcewise_stack,binned_weighted_dis,mid,1340.8,0.9607447395848412,0.0032527141794918986,36.22516708374023,0.48119700407852206,4.877951900267226,1.2670688867568969
imdb_wiki,sourcewise_stack,difficulty_weighted,high,1295.0,0.9538774157130593,0.00524929772783014,34.933634185791014,0.47767423801244285,4.825267105814028,2.3857067584991456
imdb_wiki,sourcewise_stack,difficulty_weighted,low,1286.2,0.94272165562147,0.008937576689014659,36.09124069213867,0.6722265946492643,5.389916241268126,0.5995884299278259
imdb_wiki,sourcewise_stack,difficulty_weighted,mid,1340.8,0.9472346941451443,0.002284338237990748,32.3233226776123,0.5095460875052199,4.658946803332145,1.2670688867568969
