dataset,seed,base,calibration,r2,rmse,mae,picp,mpiw,niw,nciw,c_test_cal,crps,a0,a1,q_hat
imdb_wiki,0,xgb_point,marginal,0.713043212890625,8.769073623917164,6.6352434158325195,0.952320244773075,36.355751037597656,0.40395278930664064,0.3954794005442636,0.979023814201355,5.07406651349179,,,18.177875518798828
imdb_wiki,0,xgb_point,mondrian_dis,0.713043212890625,8.769073623917164,6.6352434158325195,0.9530851606323304,36.395198822021484,0.4043910980224609,0.39329587913184694,0.9725631475448608,5.073277730258235,,,
imdb_wiki,0,xgb_point,weighted_dis,0.713043212890625,8.769073623917164,6.6352434158325195,0.952320244773075,36.355751037597656,0.40395278930664064,0.3954794005442636,0.979023814201355,5.07406651349179,1.0,0.0,18.177875518798828
imdb_wiki,0,xgb_point,difficulty_weighted,0.713043212890625,8.769073623917164,6.6352434158325195,0.9500254971953085,34.2391471862793,0.3804349687364366,0.38021816645314427,0.9994301199913025,4.922329371754245,,,17.62091827392578
imdb_wiki,0,xgb_point,binned_weighted_dis,0.713043212890625,8.769073623917164,6.6352434158325195,0.952320244773075,36.355751037597656,0.40395278930664064,0.3954794005442636,0.979023814201355,5.07406651349179,,,18.177875518798828
imdb_wiki,0,xgb_quantile,marginal,0.6784877777099609,9.282056368853311,6.918548107147217,0.9551249362570118,39.900169372558594,0.44333521525065106,0.4338289854717914,0.9785574674606323,6.335771038987423,,,3.1396541595458984
imdb_wiki,0,xgb_quantile,mondrian_dis,0.6784877777099609,9.282056368853311,6.918548107147217,0.9543600203977562,40.23917007446289,0.44710188971625436,0.4376544555399632,0.978869616985321,6.336176177613973,,,
imdb_wiki,0,xgb_quantile,weighted_dis,0.6784877777099609,9.282056368853311,6.918548107147217,0.9533401325854156,39.69898986816406,0.44109988742404516,0.4331882448116024,0.9820638298988342,6.318260912279912,1.0,0.5,2.066122531890869
imdb_wiki,0,xgb_quantile,difficulty_weighted,0.6784877777099609,9.282056368853311,6.918548107147217,0.9551249362570118,46.343955993652344,0.514932844373915,0.5009406444906088,0.972827136516571,6.771269259258892,,,1.8868591785430908
imdb_wiki,0,xgb_quantile,binned_weighted_dis,0.6784877777099609,9.282056368853311,6.918548107147217,0.9538500764915859,39.9640007019043,0.44404445224338107,0.43221712044235117,0.973364531993866,6.331833820686214,,,2.554835081100464
