bin,n_pairs,marginal_picp,marginal_mpiw,weighted_picp,weighted_mpiw,weighted_mpiw_impr,weighted_crps_impr,difficulty_picp,difficulty_mpiw,difficulty_mpiw_impr,difficulty_crps_impr,mondrian_picp,mondrian_mpiw,mondrian_mpiw_impr,mondrian_crps_impr
high,60,0.922635618579042,32.47323370774587,0.936680573774457,33.636908094088234,-4.888216980768901,-0.23633757987623957,0.9325667232872217,218.2158680508534,-245.07719791753007,-125.63335124762399,0.9483232329172565,34.85449245671431,-11.427082635011265,-1.3348658611988606
low,60,0.9636011276963973,32.066827328999835,0.9543619207382125,30.490358319878577,5.9448171888924115,1.635257638569906,0.9591818952912522,73.0489180708925,-52.09021668507286,-30.99565163739119,0.9524290737278951,31.007366429269315,6.585988020390204,1.7790076463087112
mid,60,0.9602058871556026,31.615473452210427,0.9547651761884105,30.728682531416418,2.977417956144888,0.7372799203633359,0.9539535881124104,43.45719151000182,-19.237493237679637,-11.66633041795342,0.9452792085394273,29.949614585936068,6.644220264792381,1.392138292582071
