dataset,base,calibration,r2_mean,rmse_mean,mae_mean,picp_mean,mpiw_mean,niw_mean,nciw_mean,c_test_cal_mean,crps_mean,n_seeds,r2_std,rmse_std,mae_std,picp_std,mpiw_std,niw_std,nciw_std,c_test_cal_std,crps_std,delta_mpiw_vs_marginal_mean,delta_mpiw_vs_marginal_std,delta_nciw_vs_marginal_mean,delta_nciw_vs_marginal_std,delta_crps_vs_marginal_mean,delta_crps_vs_marginal_std,delta_picp_vs_marginal_mean,delta_picp_vs_marginal_std
imdb_wiki,sourcewise_quantile,binned_weighted_dis,0.49292510747909546,11.656788570978971,8.886857604980468,0.9516063233044365,46.672856140136716,0.5185872904459636,0.5147333569417707,0.9927237391471863,8.088074203350976,5,0.003906545843103425,0.04491082160081511,0.02845273083056156,0.004822273972602996,0.5272109186580635,0.005857899096200732,0.003821136781716767,0.017744039158678063,0.016892479460032528,-0.2082550048828125,0.14079600689579383,-0.0015744691673697186,0.0032991638001605246,-0.014741547637886755,0.007168606529932694,-0.0007139214686384454,0.0017046929781179515
imdb_wiki,sourcewise_quantile,difficulty_weighted,0.49292510747909546,11.656788570978971,8.886857604980468,0.952524222335543,55.79118118286133,0.6199020131429036,0.6134374765841353,0.9909197330474854,8.782124434515811,5,0.003906545843103425,0.04491082160081511,0.02845273083056156,0.003931035823245112,11.738380689509453,0.1304264521056605,0.12297639564651565,0.012816497270191301,0.9491683294854772,8.910070037841797,11.383962561799882,0.09712965047499489,0.12538066701246434,0.6793086835269466,0.9482567678089674,0.00020397756246814946,0.0024680968975685715
imdb_wiki,sourcewise_quantile,marginal,0.49292510747909546,11.656788570978971,8.886857604980468,0.952320244773075,46.88111114501953,0.5209012349446616,0.5163078261091404,0.9912826776504516,8.102815750988864,5,0.003906545843103425,0.04491082160081511,0.02845273083056156,0.0036283145004481743,0.43877421843048836,0.004875269093672145,0.0025052251832660224,0.013636251135037924,0.01639745144818808,,,,,,,,
imdb_wiki,sourcewise_quantile,mondrian_dis,0.49292510747909546,11.656788570978971,8.886857604980468,0.9526262111167771,47.16389389038086,0.5240432654486762,0.5186077707905866,0.9897389054298401,8.069009813807138,5,0.003906545843103425,0.04491082160081511,0.02845273083056156,0.0037792658149639487,0.3939698918808627,0.004377443243120692,0.007831993335028351,0.020679314075383502,0.01701383778076749,0.28278274536132814,0.2460039333791675,0.002299944681446209,0.006515690451619891,-0.03380593718172449,0.0009937408799965183,0.0003059663437021909,0.002658319534722772
imdb_wiki,sourcewise_quantile,weighted_dis,0.49292510747909546,11.656788570978971,8.886857604980468,0.9519632840387559,46.53812789916992,0.5170903099907769,0.5132151758145856,0.992628276348114,8.083476641109678,5,0.003906545843103425,0.04491082160081511,0.02845273083056156,0.004609283646497427,0.4178798769805255,0.0046431097442280935,0.004826944798556524,0.01761932042636427,0.01788965806772441,-0.3429832458496094,0.11222500821913226,-0.003092650294554744,0.0035917008653273863,-0.019339109879184947,0.005153141892877048,-0.0003569607343192338,0.002659542031699172
imdb_wiki,sourcewise_stack,binned_weighted_dis,0.7093631386756897,8.825051196423933,6.643559741973877,0.9519122896481388,36.22516555786133,0.4025018395317925,0.3988868223997118,0.9911482453346252,5.086653699795723,5,0.0026238559165505334,0.0398935982357089,0.011070391461959688,0.0028081662217763256,0.4811971053936786,0.005346634504374198,0.0030543775329374295,0.014400379521344698,0.02678602471067805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imdb_wiki,sourcewise_stack,difficulty_weighted,0.7093631386756897,8.825051196423933,6.643559741973877,0.9479347271800102,34.42026977539062,0.3824474419487847,0.3875934660616601,1.0136662721633911,4.95372838187253,5,0.0026238559165505334,0.0398935982357089,0.011070391461959688,0.0030723855851895973,0.48770906742559883,0.0054189896380621985,0.0031391301828538917,0.019931121983951458,0.02528412161843384,-1.804895782470703,0.656344081236856,-0.011293356338051619,0.00305072786917904,-0.13292531792319248,0.02276089954273428,-0.003977562468128526,0.0029216270291955795
imdb_wiki,sourcewise_stack,marginal,0.7093631386756897,8.825051196423933,6.643559741973877,0.9519122896481388,36.22516555786133,0.4025018395317925,0.3988868223997118,0.9911482453346252,5.086653699795723,5,0.0026238559165505334,0.0398935982357089,0.011070391461959688,0.0028081662217763256,0.4811971053936786,0.005346634504374198,0.0030543775329374295,0.014400379521344698,0.02678602471067805,,,,,,,,
imdb_wiki,sourcewise_stack,mondrian_dis,0.7093631386756897,8.825051196423933,6.643559741973877,0.9527281998980112,36.22059783935547,0.40245108710394967,0.39476944047698853,0.9811388254165649,5.081695733445331,5,0.0026238559165505334,0.0398935982357089,0.011070391461959688,0.002495601081742407,0.6060422947724062,0.0067338032752489565,0.0004929555195844277,0.016926248385154396,0.028734931680887057,-0.004567718505859375,0.1640476708916157,-0.004117381922723218,0.0028728379403410685,-0.004957966350391451,0.007847411144409915,0.0008159102498725091,0.0018155005730666552
imdb_wiki,sourcewise_stack,weighted_dis,0.7093631386756897,8.825051196423933,6.643559741973877,0.9520142784293728,36.41899871826172,0.4046555413140191,0.40080370501375046,0.9906349897384643,5.096408624402525,5,0.0026238559165505334,0.0398935982357089,0.011070391461959688,0.0028358108543394865,0.5374089229699022,0.005971210255221136,0.0027104469666361258,0.014593322963494502,0.033437379481707954,0.19383316040039061,0.4334241229488938,0.0019168826140387285,0.0042862798298780895,0.009754924606802185,0.021812674536195092,0.00010198878123406363,0.00022805384778172116
