seed,base,calibration,rmse,mae,r2,picp,mpiw,crps_uniform,niw,nciw,c_test_cal,q,q_bin0,q_bin1,q_bin2,a0,a1
0,xgb_point,marginal,0.45499344066461117,0.3313588798046112,0.7909616827964783,0.9449954914337241,1.8221468932194362,0.25871656011673905,0.24614605256869065,0.25621820703896403,1.0409194231033325,0.9110734462738037,,,,,
0,xgb_point,mondrian_dis,0.45499344066461117,0.3313588798046112,0.7909616827964783,0.9504057709648331,1.9005388642776324,0.2597531639357888,0.25673565610877275,0.25590128559003017,0.9967500793174241,,0.6120721101760864,0.9025978446006775,1.3531711101531982,,
0,xgb_point,weighted_dis,0.45499344066461117,0.3313588798046112,0.7909616827964783,0.9540126239855726,1.7918338156208677,0.2541202535969729,0.24205116498316673,0.23664524248279314,0.9776661992073059,0.42939335107803345,,,,3.0,10.0
0,xgb_quantile,marginal,0.5880126573001532,0.4255390763282776,0.6508685350418091,0.9612263300270514,2.405577281394233,0.32873486472828856,0.32495911972493724,0.3090589509378274,0.951070249080658,0.34987401962280273,,,,,
0,xgb_quantile,mondrian_dis,0.5880126573001532,0.4255390763282776,0.6508685350418091,0.9531109107303878,2.3207960626782507,0.32314367355605844,0.3135064012873128,0.3060556749465633,0.9762342130490623,,0.06369674205780029,0.2614169120788574,0.6096789836883545,,
0,xgb_quantile,weighted_dis,0.5880126573001532,0.4255390763282776,0.6508685350418091,0.9558160504959423,2.2712555540586186,0.32126145933665523,0.30681421011630444,0.29572582727073166,0.9638596177101135,0.2991604804992676,,,,0.5,3.0
0,aug_theta,marginal,0.45828160803254453,0.3314949572086334,0.7879294157028198,0.9531109107303878,1.879905180849397,0.2616067080412692,0.2539483459865831,0.2526954826661338,0.9950664639472961,0.8733888268470764,,,,,
0,aug_theta,mondrian_dis,0.45828160803254453,0.3314949572086334,0.7879294157028198,0.9458972046889089,1.8801548669513974,0.25958802634183303,0.25398206920453464,0.25907515597240266,1.0200529383189114,,0.5694625377655029,0.8286949396133423,1.2377073764801025,,
0,aug_theta,weighted_dis,0.45828160803254453,0.3314949572086334,0.7879294157028198,0.9558160504959423,1.801659219484269,0.2555203331069703,0.24337844538623277,0.235248735130079,0.9665964245796204,2.046480655670166,,,,0.1,0.5
1,xgb_point,marginal,0.45430296666660613,0.32951653003692627,0.790124773979187,0.9422903516681695,1.755555152812447,0.2556665558154231,0.23798585969428518,0.2503372192769242,1.0518995523452759,0.8777775764465332,,,,,
1,xgb_point,mondrian_dis,0.45430296666660613,0.32951653003692627,0.790124773979187,0.9495040577096483,1.7878403027279082,0.25380739433429406,0.24236248615694103,0.24329650055948718,1.003853791142996,,0.7356868982315063,0.8127872943878174,1.134281873703003,,
1,xgb_point,weighted_dis,0.45430296666660613,0.32951653003692627,0.790124773979187,0.9377817853922452,1.7047535778435638,0.25293475163818707,0.23109912512546782,0.24680586689995634,1.0679653882980347,0.8226348161697388,,,,1.0,0.5
1,xgb_quantile,marginal,0.5841355654354647,0.42268913984298706,0.6530256271362305,0.9386834986474302,2.209868494243209,0.32084455998317196,0.29957329310779035,0.31044671549113306,1.0362963676452637,0.25776124000549316,,,,,
1,xgb_quantile,mondrian_dis,0.5841355654354647,0.42268913984298706,0.6530256271362305,0.9567177637511272,2.317526699864911,0.3221953591381818,0.3141676199251859,0.30078881187076223,0.9574150637878927,,0.21304452419281006,0.18169832229614258,0.5378673076629639,,
1,xgb_quantile,weighted_dis,0.5841355654354647,0.42268913984298706,0.6530256271362305,0.9495040577096483,2.2071200780120384,0.3173074097533553,0.2992007358192291,0.30129916226738984,1.0070134401321411,0.3734150826931,,,,0.1,3.0
1,aug_theta,marginal,0.454608035927187,0.33249926567077637,0.7898427844047546,0.9377817853922452,1.7574725497725636,0.2567656177217461,0.23824579653763156,0.24780390681847608,1.04011869430542,0.8196215629577637,,,,,
1,aug_theta,mondrian_dis,0.454608035927187,0.33249926567077637,0.7898427844047546,0.9413886384129847,1.6831383981347896,0.25233294201671336,0.22816892878840184,0.24146959696120518,1.0582930736600777,,0.6513298749923706,0.7380971908569336,0.9595630168914795,,
1,aug_theta,weighted_dis,0.454608035927187,0.33249926567077637,0.7898427844047546,0.9368800721370604,1.6566810488055912,0.25140931539648065,0.22458232989254628,0.24775581700285118,1.1031848192214966,0.9608016014099121,,,,0.5,1.0
2,xgb_point,marginal,0.4467781275341059,0.32493844628334045,0.793154239654541,0.9540126239855726,1.787904739245517,0.25344001680309014,0.24466812873424792,0.24113138760195868,0.985544741153717,0.8939523696899414,,,,,
2,xgb_point,mondrian_dis,0.4467781275341059,0.32493844628334045,0.793154239654541,0.9549143372407575,1.722882403566345,0.24962929890837762,0.23577006337370415,0.22791624108247005,0.9666886364670246,,0.743267834186554,0.8707535266876221,0.9682790637016296,,
2,xgb_point,weighted_dis,0.4467781275341059,0.32493844628334045,0.793154239654541,0.9567177637511272,1.7597283625301743,0.2499725786793246,0.2408123055897429,0.2361853297431365,0.9807859659194946,0.738429844379425,,,,1.0,3.0
2,xgb_quantile,marginal,0.5781546920162377,0.41955381631851196,0.6536214351654053,0.9350766456266907,2.0264380483193585,0.31258113546357835,0.2773105199631997,0.30407648360902084,1.0965198278427124,0.17033246159553528,,,,,
2,xgb_quantile,mondrian_dis,0.5781546920162377,0.41955381631851196,0.6536214351654053,0.9287646528403968,1.9919368155048471,0.3105317249814608,0.2725891611962867,0.3018927350028195,1.1075008766963843,,0.07831811904907227,0.10602882504463196,0.26933324337005615,,
2,xgb_quantile,weighted_dis,0.5781546920162377,0.41955381631851196,0.6536214351654053,0.9305680793507665,1.971172588629643,0.31036541435162196,0.26974763510275096,0.2980213959457346,1.1048156023025513,0.11976136267185211,,,,1.0,3.0
2,aug_theta,marginal,0.4469749472294562,0.32555609941482544,0.7929719686508179,0.9431920649233544,1.7238461878839326,0.25167766804722574,0.23590193863270514,0.2457319359878014,1.0416698455810547,0.8024556636810303,,,,,
2,aug_theta,mondrian_dis,0.4469749472294562,0.32555609941482544,0.7929719686508179,0.9531109107303878,1.7359204038821632,0.2504259054292791,0.23755426533337576,0.23460880329772502,0.9876008876055449,,0.6950690150260925,0.7991551160812378,0.927833080291748,,
2,aug_theta,weighted_dis,0.4469749472294562,0.32555609941482544,0.7929719686508179,0.9422903516681695,1.6863802599681188,0.24818927045596925,0.23077486514896403,0.24252740906821355,1.0509264469146729,0.37396565079689026,,,,3.0,10.0
