dataset,seed,regime,method,picp,mpiw,niw,nciw,crps,c_test_cal,q_global,q_pooled_masked,q_regime
imdb_wiki,0,full,global_full_cal,0.952320244773075,36.355751037597656,0.40395278930664064,0.3954794005442636,5.07406651349179,0.979023814201355,18.177875518798828,32.66426467895508,18.177875518798828
imdb_wiki,0,full,pooled_masked_cal,0.952320244773075,36.355751037597656,0.40395278930664064,0.3954794005442636,5.07406651349179,0.979023814201355,18.177875518798828,32.66426467895508,18.177875518798828
imdb_wiki,0,full,mask_matched_cal,0.952320244773075,36.355751037597656,0.40395278930664064,0.3954794005442636,5.07406651349179,0.979023814201355,18.177875518798828,32.66426467895508,18.177875518798828
imdb_wiki,0,no_text,global_full_cal,0.9518103008669047,36.355751037597656,0.40395278930664064,0.40003297840958113,5.079925455801142,0.9902963638305664,18.177875518798828,32.66426467895508,18.288330078125
imdb_wiki,0,no_text,pooled_masked_cal,0.9966853646098929,65.32853698730469,0.7258726331922744,0.40003304890080676,6.625077002591081,0.5511063933372498,18.177875518798828,32.66426467895508,18.288330078125
imdb_wiki,0,no_text,mask_matched_cal,0.9520652728199898,36.57666015625,0.40640733506944443,0.400033069365438,5.087518889993026,0.9843155741691589,18.177875518798828,32.66426467895508,18.288330078125
imdb_wiki,0,no_image,global_full_cal,0.7967873533911269,36.35574722290039,0.40395274692111544,0.8015428324211774,9.292717975731128,1.9842489957809448,18.177875518798828,32.66426467895508,36.769325256347656
imdb_wiki,0,no_image,pooled_masked_cal,0.9344722080571137,65.32852935791016,0.725872548421224,0.8015429112205614,9.524187730771681,1.1042474508285522,18.177875518798828,32.66426467895508,36.769325256347656
imdb_wiki,0,no_image,mask_matched_cal,0.9538500764915859,73.53864288330078,0.8170960320366754,0.8015429162134751,9.80653399649248,0.9809653759002686,18.177875518798828,32.66426467895508,36.769325256347656
imdb_wiki,0,tab_only,global_full_cal,0.7957674655787863,36.35574722290039,0.40395274692111544,0.8195114074146558,9.401152511005792,2.028730869293213,18.177875518798828,32.66426467895508,37.034427642822266
imdb_wiki,0,tab_only,pooled_masked_cal,0.9306476287608363,65.32853698730469,0.7258726331922744,0.8195116365157245,9.62309942504024,1.1290019750595093,18.177875518798828,32.66426467895508,37.034427642822266
imdb_wiki,0,tab_only,mask_matched_cal,0.9520652728199898,74.06884765625,0.8229871961805556,0.8195114359130256,9.918906999083424,0.9957766532897949,18.177875518798828,32.66426467895508,37.034427642822266
imdb_wiki,1,full,global_full_cal,0.9505354411014788,36.10734939575195,0.4011927710639106,0.3988348582851763,5.084316433760104,0.9941227436065674,18.053672790527344,36.07859802246094,18.053672790527344
imdb_wiki,1,full,pooled_masked_cal,0.9505354411014788,36.10734939575195,0.4011927710639106,0.3988348582851763,5.084316433760104,0.9941227436065674,18.053672790527344,36.07859802246094,18.053672790527344
imdb_wiki,1,full,mask_matched_cal,0.9505354411014788,36.10734939575195,0.4011927710639106,0.3988348582851763,5.084316433760104,0.9941227436065674,18.053672790527344,36.07859802246094,18.053672790527344
imdb_wiki,1,no_text,global_full_cal,0.9510453850076491,36.10734939575195,0.4011927710639106,0.3998449892291471,5.092574081482203,0.9966405630111694,18.053672790527344,36.07859802246094,17.951580047607422
imdb_wiki,1,no_text,pooled_masked_cal,0.9982151963284038,72.1572036743164,0.8017467074924045,0.3998450074819276,7.091864258908909,0.49871736764907837,18.053672790527344,36.07859802246094,17.951580047607422
imdb_wiki,1,no_text,mask_matched_cal,0.9492605813360531,35.903167724609375,0.3989240858289931,0.39984504480647354,5.085969411894589,1.0023086071014404,18.053672790527344,36.07859802246094,17.951580047607422
