dataset,regime,method,picp_mean,mpiw_mean,niw_mean,nciw_mean,crps_mean,c_test_cal_mean,q_global_mean,q_pooled_masked_mean,q_regime_mean,n_seeds,picp_std,mpiw_std,niw_std,nciw_std,crps_std,c_test_cal_std,q_global_std,q_pooled_masked_std,q_regime_std,coverage_gain_mean,coverage_gain_std,mpiw_change_pct_mean,crps_change_pct_mean,coverage_gain_vs_pooled_mean,mpiw_change_vs_pooled_pct_mean,crps_change_vs_pooled_pct_mean
imdb_wiki,full,global_full_cal,0.9503824579296276,35.887777709960936,0.39875308566623263,0.3968440775232628,5.057300017329317,0.9952755331993103,17.943888092041014,36.06385955810547,17.943888092041014,5,0.001162851019988921,0.3280984748232481,0.0036455386091472177,0.0022134092072762573,0.021320323735971654,0.010222364653798742,0.16404916823203353,2.1761456050288865,0.16404916823203353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imdb_wiki,full,mask_matched_cal,0.9503824579296276,35.887777709960936,0.39875308566623263,0.3968440775232628,5.057300017329317,0.9952755331993103,17.943888092041014,36.06385955810547,17.943888092041014,5,0.001162851019988921,0.3280984748232481,0.0036455386091472177,0.0022134092072762573,0.021320323735971654,0.010222364653798742,0.16404916823203353,2.1761456050288865,0.16404916823203353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imdb_wiki,full,pooled_masked_cal,0.9503824579296276,35.887777709960936,0.39875308566623263,0.3968440775232628,5.057300017329317,0.9952755331993103,17.943888092041014,36.06385955810547,17.943888092041014,5,0.001162851019988921,0.3280984748232481,0.0036455386091472177,0.0022134092072762573,0.021320323735971654,0.010222364653798742,0.16404916823203353,2.1761456050288865,0.16404916823203353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imdb_wiki,no_image,global_full_cal,0.758847526772055,35.887776947021486,0.39875307718912756,0.8772075068320465,9.886403621607347,2.2008480787277223,17.943888092041014,36.06385955810547,40.02818222045899,5,0.02927262359446812,0.32809711458037316,0.0036455234953374537,0.053489867127092215,0.5190415135802396,0.1509802430798071,0.16404916823203353,2.1761456050288865,2.3430928013568955,0.19428862825089238,0.028901382987782723,123.17122995496356,6.748435288851988,0.01881693013768484,11.012280543851695,2.7900102574001053
imdb_wiki,no_image,mask_matched_cal,0.9531361550229475,80.05636138916016,0.8895151265462239,0.8772074453354536,10.554457578967906,0.986052393913269,17.943888092041014,36.06385955810547,40.02818222045899,5,0.0005527660221489157,4.686192398833746,0.05206880443148606,0.05348989513194745,0.5765402449421502,0.004311720455577301,0.16404916823203353,2.1761456050288865,2.3430928013568955,0.19428862825089238,0.028901382987782723,123.17122995496356,6.748435288851988,0.01881693013768484,11.012280543851695,2.7900102574001053
imdb_wiki,no_image,pooled_masked_cal,0.9343192248852625,72.12771759033203,0.8014190843370226,0.877207441406578,10.26789507122956,1.0946066617965697,17.943888092041014,36.06385955810547,40.02818222045899,5,0.0018262115838317478,4.352290446747812,0.04835878274164234,0.053489845720413536,0.5575216621017289,0.010923951579111968,0.16404916823203353,2.1761456050288865,2.3430928013568955,0.19428862825089238,0.028901382987782723,123.17122995496356,6.748435288851988,0.01881693013768484,11.012280543851695,2.7900102574001053
imdb_wiki,no_text,global_full_cal,0.9498215196328404,35.887777709960936,0.39875308566623263,0.3998737238619166,5.070542427832938,1.0028714895248414,17.943888092041014,36.06385955810547,18.05648880004883,5,0.0016563367433871888,0.3280984748232481,0.0036455386091472177,0.002765653419682671,0.016168547007232092,0.010851722534669251,0.16404916823203353,2.1761456050288865,0.14336579631569785,0.0004079551249362323,0.0013199570734874421,0.6304604383281918,0.1480890524516952,-0.04742478327383985,-49.76201397576133,-28.249842478299048
imdb_wiki,no_text,mask_matched_cal,0.9502294747577766,36.11298141479492,0.40125534905327687,0.39987373110110336,5.078034799368623,0.9965893864631653,17.943888092041014,36.06385955810547,18.05648880004883,5,0.0011600523371827361,0.28672763705843773,0.0031858626339826166,0.002765603072807596,0.011166922752999249,0.008135525275925317,0.16404916823203353,2.1761456050288865,0.14336579631569785,0.0004079551249362323,0.0013199570734874421,0.6304604383281918,0.1480890524516952,-0.04742478327383985,-49.76201397576133,-28.249842478299048
imdb_wiki,no_text,pooled_masked_cal,0.9976542580316166,72.12771911621094,0.8014191012912327,0.3998737074704837,7.087939809599563,0.5005411028861999,17.943888092041014,36.06385955810547,18.05648880004883,5,0.0005814255099945002,4.352287467070521,0.048358749634116974,0.002765624077447484,0.2967277471159178,0.032873647705536434,0.16404916823203353,2.1761456050288865,0.14336579631569785,0.0004079551249362323,0.0013199570734874421,0.6304604383281918,0.1480890524516952,-0.04742478327383985,-49.76201397576133,-28.249842478299048
imdb_wiki,tab_only,global_full_cal,0.7580826109127996,35.887776947021486,0.39875307718912756,0.8852007324763973,9.952577920000603,2.2207661628723145,17.943888092041014,36.06385955810547,40.354539489746095,5,0.02592476781532841,0.32809711458037316,0.0036455234953374537,0.044923262283978804,0.43204011534378894,0.12979830502263742,0.16404916823203353,2.1761456050288865,2.259286768353459,0.19520652728199897,0.026631817448381136,124.9888294687275,6.819321873422841,0.02019377868434471,11.926667095916494,2.991953345882796
